ADC (X), (Y)	 (X) = (X)+(Y)+C	99	NV–H-ZC	1	5
ADC A, #i	 A = A+i+C	88	NV–H-ZC	2	2
ADC A, (X)	 A = A+(X)+C	86	NV–H-ZC	1	3
ADC A, [d]+Y	 A = A+([d]+Y)+C	97	NV–H-ZC	2	6
ADC A, [d+X]	 A = A+([d+X])+C	87	NV–H-ZC	2	6
ADC A, d	 A = A+(d)+C	84	NV–H-ZC	2	3
ADC A, d+X	 A = A+(d+X)+C	94	NV–H-ZC	2	4
ADC A, !a	 A = A+(a)+C	85	NV–H-ZC	3	4
ADC A, !a+X	 A = A+(a+X)+C	95	NV–H-ZC	3	5
ADC A, !a+Y	 A = A+(a+Y)+C	96	NV–H-ZC	3	5
ADC dd, ds	 (dd) = (dd)+(d)+C	89	NV–H-ZC	3	6
ADC d, #i	 (d) = (d)+i+C	98	NV–H-ZC	3	5
ADDW YA, d	 YA = YA + (d), H on high byte	7A	NV–H-ZC	2	5
AND (X), (Y)	 (X) = (X) & (Y)	39	N—–Z-	1	5
AND A, #i	 A = A & i	28	N—–Z-	2	2
AND A, (X)	 A = A & (X)	26	N—–Z-	1	3
AND A, [d]+Y	 A = A & ([d]+Y)	37	N—–Z-	2	6
AND A, [d+X]	 A = A & ([d+X])	27	N—–Z-	2	6
AND A, d	 A = A & (d)	24	N—–Z-	2	3
AND A, d+X	 A = A & (d+X)	34	N—–Z-	2	4
AND A, !a	 A = A & (a)	25	N—–Z-	3	4
AND A, !a+X	 A = A & (a+X)	35	N—–Z-	3	5
AND A, !a+Y	 A = A & (a+Y)	36	N—–Z-	3	5
AND dd, ds	 (dd) = (dd) & (ds)	29	N—–Z-	3	6
AND d, #i	 (d) = (d) & i	38	N—–Z-	3	5
AND1 C, /m.b	 C = C & ~(m.b)	6A	——-C	3	4
AND1 C, m.b	 C = C & (m.b)	4A	——-C	3	4
ASL A	 Left shift A: high->C, 0->low	1C	N—–ZC	1	2
ASL d	 Left shift (d) as above	0B	N—–ZC	2	4
ASL d+X	 Left shift (d+X) as above	1B	N—–ZC	2	5
ASL !a	 Left shift (a) as above	0C	N—–ZC	3	5
BBC d.0, r	 PC+=r if d.0 == 0	13	——–	3	5/7
BBC d.1, r	 PC+=r if d.1 == 0	33	——–	3	5/7
BBC d.2, r	 PC+=r if d.2 == 0	53	——–	3	5/7
BBC d.3, r	 PC+=r if d.3 == 0	73	——–	3	5/7
BBC d.4, r	 PC+=r if d.4 == 0	93	——–	3	5/7
BBC d.5, r	 PC+=r if d.5 == 0	B3	——–	3	5/7
BBC d.6, r	 PC+=r if d.6 == 0	D3	——–	3	5/7
BBC d.7, r	 PC+=r if d.7 == 0	F3	——–	3	5/7
BBS d.0, r	 PC+=r if d.0 == 1	03	——–	3	5/7
BBS d.1, r	 PC+=r if d.1 == 1	23	——–	3	5/7
BBS d.2, r	 PC+=r if d.2 == 1	43	——–	3	5/7
BBS d.3, r	 PC+=r if d.3 == 1	63	——–	3	5/7
BBS d.4, r	 PC+=r if d.4 == 1	83	——–	3	5/7
BBS d.5, r	 PC+=r if d.5 == 1	A3	——–	3	5/7
BBS d.6, r	 PC+=r if d.6 == 1	C3	——–	3	5/7
BBS d.7, r	 PC+=r if d.7 == 1	E3	——–	3	5/7
BCC r	 PC+=r if C == 0	90	——–	2	2/4
BCS r	 PC+=r if C == 1	B0	——–	2	2/4
BEQ r	 PC+=r if Z == 1	F0	——–	2	2/4
BMI r	 PC+=r if N == 1	30	——–	2	2/4
BNE r	 PC+=r if Z == 0	D0	——–	2	2/4
BPL r	 PC+=r if N == 0	10	——–	2	2/4
BVC r	 PC+=r if V == 0	50	——–	2	2/4
BVS r	 PC+=r if V == 1	70	——–	2	2/4
BRA r	 PC+=r	2F	——–	2	4
BRK	 Push PC and Flags, PC = [$FFDE]	0F	—1-0–	1	8
CALL !a	 (SP--)=PCh, (SP--)=PCl, PC=a	3F	——–	3	8
CBNE d+X, r	 CMP A, (d+X) then BNE	DE	——–	3	6/8
CBNE d, r	 CMP A, (d) then BNE	2E	——–	3	5/7
CLR1 d.0	 d.0 = 0	12	——–	2	4
CLR1 d.1	 d.1 = 0	32	——–	2	4
CLR1 d.2	 d.2 = 0	52	——–	2	4
CLR1 d.3	 d.3 = 0	72	——–	2	4
CLR1 d.4	 d.4 = 0	92	——–	2	4
CLR1 d.5	 d.5 = 0	B2	——–	2	4
CLR1 d.6	 d.6 = 0	D2	——–	2	4
CLR1 d.7	 d.7 = 0	F2	——–	2	4
CLRC	 C = 0	60	——-0	1	2
CLRP	 P = 0	20	–0—–	1	2
CLRV	 V = 0, H = 0	E0	-0–0—	1	2
CMP (X), (Y)	 (X) - (Y)	79	N—–ZC	1	5
CMP A, #i	 A - i	68	N—–ZC	2	2
CMP A, (X)	 A - (X)	66	N—–ZC	1	3
CMP A, [d]+Y	 A - ([d]+Y)	77	N—–ZC	2	6
CMP A, [d+X]	 A - ([d+X])	67	N—–ZC	2	6
CMP A, d	 A - (d)	64	N—–ZC	2	3
